term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006357	regulation of transcription by RNA polymerase II	5.5634990465893115e-11	7.4405	2688	15	15
GO:0006366	transcription by RNA polymerase II	5.937494915024113e-11	7.0746	2827	15	15
GO:0045944	positive regulation of transcription by RNA polymerase II	3.0120652082678227e-10	12.9345	1237	15	12
GO:2001141	regulation of RNA biosynthetic process	3.7577202506304203e-10	5.8875	3397	15	15
GO:0006355	regulation of DNA-templated transcription	3.7577202506304203e-10	5.9084	3385	15	15
GO:0006351	DNA-templated transcription	5.413536815076867e-10	5.677	3523	15	15
GO:0051252	regulation of RNA metabolic process	8.032266430602694e-10	5.4735	3654	15	15
GO:0019219	regulation of nucleobase-containing compound metabolic process	2.3004737040357492e-09	5.0582	3954	15	15
GO:0045893	positive regulation of DNA-templated transcription	3.2504292076597926e-09	9.5694	1672	15	12
GO:1902680	positive regulation of RNA biosynthetic process	3.2504292076597926e-09	9.5579	1674	15	12
GO:0051254	positive regulation of RNA metabolic process	7.136664294146808e-09	8.8692	1804	15	12
GO:0048732	gland development	1.7550214137100836e-08	25.098	425	15	8
GO:0080090	regulation of primary metabolic process	9.05781208858265e-08	3.8351	5215	15	15
GO:0060429	epithelium development	1.0920056702865063e-07	10.805	1234	15	10
GO:0045892	negative regulation of DNA-templated transcription	1.40168465064702e-07	10.4575	1275	15	10
GO:1902679	negative regulation of RNA biosynthetic process	1.407287394371316e-07	10.3842	1284	15	10
GO:0010468	regulation of gene expression	1.759750867367079e-07	3.6043	5549	15	15
GO:0000122	negative regulation of transcription by RNA polymerase II	1.9961670084596593e-07	12.8617	933	15	9
GO:0010556	regulation of macromolecule biosynthetic process	2.048025287177663e-07	3.5417	5647	15	15
GO:0010557	positive regulation of macromolecule biosynthetic process	2.143123946888902e-07	6.3042	2538	15	12
GO:0051253	negative regulation of RNA metabolic process	2.3032545826457025e-07	9.5992	1389	15	10
GO:0030154	cell differentiation	2.557505864929535e-07	4.2014	4443	15	14
GO:0048869	cellular developmental process	2.557505864929535e-07	4.2004	4444	15	14
GO:0009889	regulation of biosynthetic process	2.557505864929535e-07	3.4358	5821	15	15
GO:0009891	positive regulation of biosynthetic process	2.77261444161022e-07	6.0491	2645	15	12
GO:0048856	anatomical structure development	3.2645436678265714e-07	3.3625	5948	15	15
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	4.02671781270084e-07	8.83	1510	15	10
GO:0007275	multicellular organism development	4.5474370231372654e-07	3.9801	4690	15	14
GO:0030855	epithelial cell differentiation	5.655082458439151e-07	14.3177	745	15	8
GO:0001708	cell fate specification	5.655082458439151e-07	58.4795	114	15	5
GO:0002067	glandular epithelial cell differentiation	5.655082458439151e-07	140.3509	38	15	4
GO:0009790	embryo development	5.828950999009257e-07	10.6572	1126	15	9
GO:0060255	regulation of macromolecule metabolic process	7.582324377944096e-07	3.1289	6392	15	15
GO:0032502	developmental process	1.0259497963645075e-06	3.0604	6535	15	15
GO:0035270	endocrine system development	1.195281563088202e-06	49.0196	136	15	5
GO:0032774	RNA biosynthetic process	1.195281563088202e-06	3.018	6627	15	15
GO:0045165	cell fate commitment	1.2963711921668535e-06	26.936	297	15	6
GO:0010604	positive regulation of macromolecule metabolic process	1.3914117994636394e-06	5.0761	3152	15	12
GO:0141187	nucleic acid biosynthetic process	1.4064621814379782e-06	2.9696	6735	15	15
GO:0016070	RNA metabolic process	1.7072279575905683e-06	2.9265	6834	15	15
GO:0019222	regulation of metabolic process	1.9241694197717604e-06	2.8986	6900	15	15
GO:0034654	nucleobase-containing compound biosynthetic process	2.51263866329714e-06	2.8429	7035	15	15
GO:0009893	positive regulation of metabolic process	3.0424595739164645e-06	4.6921	3410	15	12
GO:0048598	embryonic morphogenesis	3.2638846460590634e-06	14.9813	623	15	7
GO:0009888	tissue development	3.85443019872465e-06	6.6203	2014	15	10
GO:0045664	regulation of neuron differentiation	4.708185996586457e-06	35.0877	190	15	5
GO:0090304	nucleic acid metabolic process	4.708185996586457e-06	2.7023	7401	15	15
GO:0045596	negative regulation of cell differentiation	4.708185996586457e-06	14.0351	665	15	7
GO:0043009	chordate embryonic development	4.7614467012778155e-06	13.9512	669	15	7
GO:0009792	embryo development ending in birth or egg hatching	5.589359911958509e-06	13.5856	687	15	7
GO:0045595	regulation of cell differentiation	5.801894023182642e-06	7.7469	1549	15	9
GO:0031016	pancreas development	6.597252727552071e-06	67.5105	79	15	4
GO:0060541	respiratory system development	8.982146385606522e-06	30.1659	221	15	5
GO:0060008	Sertoli cell differentiation	1.164706848900056e-05	181.8182	22	15	3
GO:0006139	nucleobase-containing compound metabolic process	1.2353243109489769e-05	2.5113	7964	15	15
GO:0048731	system development	1.546744328044195e-05	3.9771	4023	15	12
GO:0048863	stem cell differentiation	1.6025974717971006e-05	26.3505	253	15	5
GO:0022008	neurogenesis	1.6025974717971006e-05	6.7835	1769	15	9
GO:0050793	regulation of developmental process	1.7537791170637652e-05	5.4847	2431	15	10
GO:0002065	columnar/cuboidal epithelial cell differentiation	2.5021870798719275e-05	46.7836	114	15	4
GO:0001501	skeletal system development	2.5978580875151318e-05	14.8699	538	15	6
GO:0001889	liver development	2.9734083528172257e-05	44.4444	120	15	4
GO:0072193	ureter smooth muscle cell differentiation	3.0370964980968225e-05	888.8889	3	15	2
GO:0061037	negative regulation of cartilage development	3.0370964980968225e-05	125.0	32	15	3
GO:0072191	ureter smooth muscle development	3.0370964980968225e-05	888.8889	3	15	2
GO:0051093	negative regulation of developmental process	3.0370964980968225e-05	10.1892	916	15	7
GO:0061008	hepaticobiliary system development	3.0370964980968225e-05	43.3604	123	15	4
GO:2000026	regulation of multicellular organismal development	3.1898414728978467e-05	7.6628	1392	15	8
GO:0048665	neuron fate specification	3.852351594110573e-05	114.2857	35	15	3
GO:0010558	negative regulation of macromolecule biosynthetic process	4.439215104780559e-05	4.8786	2733	15	10
GO:0048729	tissue morphogenesis	4.7197259325044825e-05	13.0719	612	15	6
GO:0009887	animal organ morphogenesis	4.871278647504939e-05	9.3333	1000	15	7
GO:0007423	sensory organ development	5.18471663467964e-05	12.8	625	15	6
GO:0048522	positive regulation of cellular process	5.2295236908288695e-05	3.0203	5739	15	13
GO:0009890	negative regulation of biosynthetic process	5.2295236908288695e-05	4.7585	2802	15	10
GO:0055123	digestive system development	5.451310871894886e-05	36.2812	147	15	4
GO:0016331	morphogenesis of embryonic epithelium	6.146200752039545e-05	35.0877	152	15	4
GO:0032501	multicellular organismal process	7.357046257613292e-05	2.5442	7337	15	14
GO:0010467	gene expression	7.902637917897896e-05	2.1664	9232	15	15
GO:0035272	exocrine system development	9.886300176421305e-05	80.0	50	15	3
GO:0048518	positive regulation of biological process	0.0001124308042195109	2.8184	6150	15	13
GO:0010605	negative regulation of macromolecule metabolic process	0.00011517070414606933	4.329	3080	15	10
GO:0060324	face development	0.0001203830197316344	74.0741	54	15	3
GO:0003002	regionalization	0.00013405115569762346	15.7978	422	15	5
GO:0009059	macromolecule biosynthetic process	0.00013405115569762346	2.0822	9605	15	15
GO:0060534	trachea cartilage development	0.0001618492445981694	380.9524	7	15	2
GO:0009892	negative regulation of metabolic process	0.00019172758092736021	4.07	3276	15	10
GO:0007389	pattern specification process	0.00021372117682957656	14.245	468	15	5
GO:0048663	neuron fate commitment	0.000256811560075946	56.338	71	15	3
GO:0007399	nervous system development	0.00025870395001863537	4.6207	2597	15	9
GO:0031017	exocrine pancreas development	0.00026199434709496343	296.2963	9	15	2
GO:0061035	regulation of cartilage development	0.00027011695955723563	54.7945	73	15	3
GO:0002009	morphogenesis of an epithelium	0.0002809595938353066	13.3067	501	15	5
GO:0043583	ear development	0.00028644777877518903	22.5989	236	15	4
GO:0048523	negative regulation of cellular process	0.0003115172147694309	2.9038	5510	15	12
GO:0009653	anatomical structure morphogenesis	0.0003332784911400643	4.4461	2699	15	9
GO:0030182	neuron differentiation	0.00040793487654540065	6.4635	1444	15	7
GO:0003007	heart morphogenesis	0.000420066146190503	20.2788	263	15	4
GO:0048519	negative regulation of biological process	0.0004811406703759392	2.7812	5753	15	12
GO:0009058	biosynthetic process	0.0005249624602440093	1.8799	10639	15	15
GO:0048699	generation of neurons	0.0005535886746499851	6.1283	1523	15	7
GO:0007548	sex differentiation	0.0005754043840132251	18.5185	288	15	4
GO:0060009	Sertoli cell development	0.0005838986596014634	190.4762	14	15	2
GO:0001657	ureteric bud development	0.0005959014479842365	40.404	99	15	3
GO:0072163	mesonephric epithelium development	0.0006024813019152322	40.0	100	15	3
GO:0072164	mesonephric tubule development	0.0006024813019152322	40.0	100	15	3
GO:0007417	central nervous system development	0.0006305948692641632	7.7295	1035	15	6
GO:2000136	regulation of cell proliferation involved in heart morphogenesis	0.0006305948692641632	177.7778	15	15	2
GO:0071599	otic vesicle development	0.0006305948692641632	177.7778	15	15	2
GO:0061323	cell proliferation involved in heart morphogenesis	0.0006305948692641632	177.7778	15	15	2
GO:0001823	mesonephros development	0.0006468289935504718	38.4615	104	15	3
GO:0048513	animal organ development	0.0007125137565264862	3.9761	3018	15	9
GO:0035295	tube development	0.0008149126917459564	7.3126	1094	15	6
GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	0.0008778270341442782	148.1481	18	15	2
GO:0072189	ureter development	0.0008778270341442782	148.1481	18	15	2
GO:0060562	epithelial tube morphogenesis	0.0008898062646630256	16.016	333	15	4
GO:0021761	limbic system development	0.0009167929761732302	33.6134	119	15	3
GO:0060438	trachea development	0.0009477308764529824	140.3509	19	15	2
GO:0003417	growth plate cartilage development	0.0009477308764529824	140.3509	19	15	2
GO:0001838	embryonic epithelial tube formation	0.0009861995536178403	32.5203	123	15	3
GO:0060602	branch elongation of an epithelium	0.00102671563094552	133.3333	20	15	2
GO:0072079	nephron tubule formation	0.00102671563094552	133.3333	20	15	2
GO:0090189	regulation of branching involved in ureteric bud morphogenesis	0.0011160265815328414	126.9841	21	15	2
GO:0007530	sex determination	0.0011160265815328414	126.9841	21	15	2
GO:0048646	anatomical structure formation involved in morphogenesis	0.0011775796968203434	6.7227	1190	15	6
GO:0048565	digestive tract development	0.0012016255972574278	29.8507	134	15	3
GO:0042471	ear morphogenesis	0.0012016255972574278	29.8507	134	15	3
GO:0072175	epithelial tube formation	0.001245766632232891	29.4118	136	15	3
GO:2000738	positive regulation of stem cell differentiation	0.0012913643708960096	115.942	23	15	2
GO:0008584	male gonad development	0.0013650684320343901	28.3688	141	15	3
GO:0046546	development of primary male sexual characteristics	0.0013832903493335106	28.169	142	15	3
GO:0042692	muscle cell differentiation	0.0014116954440190031	13.7457	388	15	4
GO:0035148	tube formation	0.0015399595639123424	27.027	148	15	3
GO:0032331	negative regulation of chondrocyte differentiation	0.0015715349835887058	102.5641	26	15	2
GO:0048745	smooth muscle tissue development	0.0015715349835887058	102.5641	26	15	2
GO:0090103	cochlea morphogenesis	0.0015715349835887058	102.5641	26	15	2
GO:0030900	forebrain development	0.0015739145734604205	13.2341	403	15	4
GO:0072073	kidney epithelium development	0.0016058870495889745	26.3158	152	15	3
GO:0060322	head development	0.001613080542528498	8.471	787	15	5
GO:1902894	negative regulation of miRNA transcription	0.001636395013307958	98.7654	27	15	2
GO:0002053	positive regulation of mesenchymal cell proliferation	0.001636395013307958	98.7654	27	15	2
GO:0051094	positive regulation of developmental process	0.0017248446945682574	6.1303	1305	15	6
GO:0023019	signal transduction involved in regulation of gene expression	0.0017248446945682574	95.2381	28	15	2
GO:0003416	endochondral bone growth	0.0017248446945682574	95.2381	28	15	2
GO:0060537	muscle tissue development	0.0017587707708719457	12.6683	421	15	4
GO:0003401	axis elongation	0.0018140528565584067	91.954	29	15	2
GO:2000629	negative regulation of miRNA metabolic process	0.0018140528565584067	91.954	29	15	2
GO:0046661	male sex differentiation	0.001873814477073661	24.3902	164	15	3
GO:0043170	macromolecule metabolic process	0.0019955100626428673	1.6748	11942	15	15
GO:0098868	bone growth	0.0020209629425731812	86.0215	31	15	2
GO:0050794	regulation of cellular process	0.0020209629425731812	1.672	11962	15	15
GO:0045597	positive regulation of cell differentiation	0.002138369795459812	7.8247	852	15	5
GO:0043066	negative regulation of apoptotic process	0.0021713101534012575	7.7882	856	15	5
GO:0060351	cartilage development involved in endochondral bone morphogenesis	0.0022482089075858227	80.8081	33	15	2
GO:0048568	embryonic organ development	0.0022524073720035054	11.6703	457	15	4
GO:0019827	stem cell population maintenance	0.002298195153396996	22.2222	180	15	3
GO:0002828	regulation of type 2 immune response	0.002298195153396996	78.4314	34	15	2
GO:0010464	regulation of mesenchymal cell proliferation	0.002298195153396996	78.4314	34	15	2
GO:0031128	developmental induction	0.002298195153396996	78.4314	34	15	2
GO:0090183	regulation of kidney development	0.002298195153396996	78.4314	34	15	2
GO:0044238	primary metabolic process	0.0024105563336690103	1.6434	12170	15	15
GO:0098727	maintenance of cell number	0.0024105563336690103	21.6216	185	15	3
GO:0110110	positive regulation of animal organ morphogenesis	0.0024105563336690103	76.1905	35	15	2
GO:0043069	negative regulation of programmed cell death	0.0024105563336690103	7.516	887	15	5
GO:0048468	cell development	0.002509151762659119	3.7532	2842	15	8
GO:1905332	positive regulation of morphogenesis of an epithelium	0.0026241710192895593	72.0721	37	15	2
GO:0048736	appendage development	0.0026241710192895593	20.8333	192	15	3
GO:0060173	limb development	0.0026241710192895593	20.8333	192	15	3
GO:0030324	lung development	0.0026891390671945586	20.6186	194	15	3
GO:0007369	gastrulation	0.0027139238975775366	20.5128	195	15	3
GO:0040007	growth	0.002716469726395004	7.2464	920	15	5
GO:0008284	positive regulation of cell population proliferation	0.0027417343563583794	7.2228	923	15	5
GO:0030323	respiratory tube development	0.002788906941506728	20.202	198	15	3
GO:0051239	regulation of multicellular organismal process	0.0029005151692304415	3.6492	2923	15	8
GO:0050789	regulation of biological process	0.0029780735412361804	1.6133	12397	15	15
GO:0002520	immune system development	0.0030349575463331424	19.5122	205	15	3
GO:0048839	inner ear development	0.003175397189891795	19.1388	209	15	3
GO:0021983	pituitary gland development	0.003175397189891795	63.4921	42	15	2
GO:0009952	anterior/posterior pattern specification	0.0032468297946325908	18.9573	211	15	3
GO:0051216	cartilage development	0.00331906953719092	18.7793	213	15	3
GO:0002064	epithelial cell development	0.00334622243700537	18.6916	214	15	3
GO:0042092	type 2 immune response	0.003392888349783046	60.6061	44	15	2
GO:0031018	endocrine pancreas development	0.0036887589323980822	57.971	46	15	2
GO:0042789	mRNA transcription by RNA polymerase II	0.0038094789756937747	56.7376	47	15	2
GO:0010463	mesenchymal cell proliferation	0.0038094789756937747	56.7376	47	15	2
GO:0008406	gonad development	0.0038679385595793403	17.6211	227	15	3
GO:0009755	hormone-mediated signaling pathway	0.003896874495360587	17.5439	228	15	3
GO:0045622	regulation of T-helper cell differentiation	0.003910060437125187	55.5556	48	15	2
GO:0048705	skeletal system morphogenesis	0.004013618057572433	17.2414	232	15	3
GO:0045137	development of primary sexual characteristics	0.004013618057572433	17.2414	232	15	3
GO:0003006	developmental process involved in reproduction	0.004013618057572433	6.5104	1024	15	5
GO:0030850	prostate gland development	0.004154399883703105	53.3333	50	15	2
GO:0065007	biological regulation	0.004347813327741358	1.562	12804	15	15
GO:0051240	positive regulation of multicellular organismal process	0.004347813327741358	4.881	1639	15	6
GO:0042127	regulation of cell population proliferation	0.004347813327741358	4.881	1639	15	6
GO:0009299	mRNA transcription	0.00440151432353548	51.2821	52	15	2
GO:0090102	cochlea development	0.004526049643764486	50.3145	53	15	2
GO:0060688	regulation of morphogenesis of a branching structure	0.004526049643764486	50.3145	53	15	2
GO:0032330	regulation of chondrocyte differentiation	0.00462806536642312	49.3827	54	15	2
GO:0070542	response to fatty acid	0.00462806536642312	49.3827	54	15	2
GO:0007507	heart development	0.00462806536642312	9.0243	591	15	4
GO:0060517	epithelial cell proliferation involved in prostatic bud elongation	0.004806270334217718	1333.3333	1	15	1
GO:0060010	Sertoli cell fate commitment	0.004806270334217718	1333.3333	1	15	1
GO:0060784	regulation of cell proliferation involved in tissue homeostasis	0.004806270334217718	1333.3333	1	15	1
